,key,value
0,collaborative learning,15
1,learning environment,12
2,paper describes,10
3,computer supported,6
4,supported collaborative,6
5,paper present,5
6,distance learning,5
7,paper discus,5
8,support student,5
9,learning activity,4
10,distance education,4
11,nan,4
12,small group,4
13,community practice,4
14,learning context,3
15,audio video,3
16,pilot study,3
17,solve problem,3
18,teacher using,3
19,professional development,3
20,construction shared,3
21,shared knowledge,3
22,present result,3
23,knowledge construction,3
24,social interaction,3
25,communication technology,3
26,preliminary result,3
27,learning theory,3
28,student collaborate,3
29,paper examines,3
30,technology support,3
31,technology used,3
32,theoretical framework,3
33,result pilot,3
34,knowledge-building community,3
35,present preliminary,3
36,among learner,3
37,classroom activity,3
38,system used,3
39,software environment,3
40,problem solving,3
41,system support,3
42,interaction among,3
43,learning community,3
44,support collaborative,3
45,knowledge building,3
46,paper report,3
47,middle school,3
48,make sense,2
49,classroom lecture,2
50,discussion design,2
51,lifelong learning,2
52,software design,2
53,identify difference,2
54,showed student,2
55,student varying,2
56,school district,2
57,result indicate,2
58,grade classroom,2
59,collaboration among,2
60,data collection,2
61,public school,2
62,1000 student,2
63,modeling software,2
64,technical support,2
65,design activity,2
66,science curriculum,2
67,concept learning,2
68,molecular modeling,2
69,design classroom,2
70,system design,2
71,relevant experience,2
72,various form,2
73,understanding learning,2
74,information communication,2
75,collaborative knowledge,2
76,environment based,2
77,collaboration distributed,2
78,student faculty,2
79,student actively,2
80,local community,2
81,technology played,2
82,communication collaboration,2
83,computer-mediated communication,2
84,classroom practice,2
85,many existing,2
86,paper explores,2
87,learning student,2
88,design principle,2
89,test hypothesis,2
90,cscl tool,2
91,educational reform,2
92,student participate,2
93,new collaborative,2
94,student 's,2
95,social network,2
96,three main,2
97,used support,2
98,model used,2
99,model also,2
100,possible application,2
101,elementary school,2
102,child 's,2
103,analysis revealed,2
104,global warming,2
105,learning experience,2
106,based model,2
107,student worked,2
108,virtual learning,2
109,traditional classroom,2
110,student learning,2
111,model describe,2
112,structure learning,2
113,learning science,2
114,student develop,2
115,group student,2
116,situated learning,2
117,three level,2
118,tutoring system,2
119,intelligent tutoring,2
120,student knowledge,2
