,key,value
0,collaborative learning,22
1,learning environment,13
2,paper present,9
3,paper describes,8
4,knowledge building,7
5,online learning,7
6,paper discus,6
7,result suggest,5
8,cscl community,5
9,knowledge construction,5
10,paper describe,5
11,case study,5
12,study investigate,4
13,group student,4
14,collaborative activity,4
15,teacher education,4
16,computer-supported collaborative,4
17,learning process,4
18,learning outcome,4
19,result indicated,4
20,collaborative knowledge,4
21,collaboration script,4
22,learning activity,4
23,result show,4
24,learning community,4
25,interaction among,4
26,activity theory,4
27,previous research,4
28,learning cscl,4
29,supported collaborative,4
30,learning design,3
31,design activity,3
32,purpose study,3
33,collaborative design,3
34,tool called,3
35,design study,3
36,online course,3
37,support learning,3
38,design framework,3
39,science education,3
40,paper attempt,3
41,individual learning,3
42,group discussion,3
43,student teacher,3
44,social network,3
45,environment paper,3
46,online environment,3
47,cscl research,3
48,design principle,3
49,community practice,3
50,paper review,3
51,problem solving,3
52,based analysis,3
53,student group,3
54,1 student,3
55,integral part,3
56,knowledge forum,3
57,unit analysis,3
58,role social,3
59,knowledge acquisition,3
60,two version,3
61,web-based collaborative,3
62,learning using,3
63,mobile device,3
64,experimental study,3
65,cscl setting,3
66,online collaborative,3
67,two different,3
68,computer supported,3
69,learning interaction,2
70,paper focus,2
71,student working,2
72,collaborative work,2
73,context collaborative,2
74,result indicate,2
75,design result,2
76,context representation,2
77,indicate student,2
78,process taking,2
79,large extent,2
80,concept action,2
81,propose model,2
82,help learner,2
83,community order,2
84,main theme,2
85,order support,2
86,system integrated,2
87,learning system,2
88,research community,2
89,coding scheme,2
90,instructional support,2
91,computer-supported collaboration,2
92,study reported,2
93,social activity,2
94,student worked,2
95,prior knowledge,2
96,group three,2
97,outcome individual,2
98,design process,2
99,child 's,2
100,understanding process,2
101,discussion addition,2
102,communication tool,2
103,paper proposes,2
104,tool used,2
105,deeper analysis,2
106,discussion paper,2
107,graphical representation,2
108,present study,2
109,participated study,2
110,finding show,2
111,model student,2
112,educational tool,2
113,used learner,2
114,better understanding,2
115,network analysis,2
116,university course,2
117,learning science,2
118,problem-based learning,2
119,student learn,2
120,cscl conference,2
121,shared workspace,2
122,`` social,2
123,computer-mediated communication,2
124,methodological framework,2
125,framework characterizing,2
126,finding provide,2
127,field cscl,2
128,educational technology,2
129,practice cop,2
130,part paper,2
131,blended learning,2
132,technical support,2
133,teaching practice,2
134,learning gain,2
135,design based,2
136,score explained,2
137,method fostering,2
138,complex system,2
139,interaction collaborative,2
140,describe four,2
141,international conference,2
142,development cscl,2
143,impact change,2
144,computing device,2
145,educational computing,2
146,every student,2
147,finding discussed,2
148,cognitive tool,2
149,learning tool,2
150,research collaborative,2
151,future research,2
152,research shown,2
153,nature activity,2
154,solve problem,2
155,distributed nature,2
156,study compared,2
157,result showed,2
158,learning study,2
159,collaboration within,2
160,fostering collaboration,2
161,small group,2
162,iterative design,2
163,scardamalia amp,2
164,amp bereiter,2
165,building scardamalia,2
166,pedagogical design,2
167,took place,2
168,discussion author,2
169,cscl environment,2
170,learning however,2
171,study reveal,2
172,secondary school,2
173,collaborative inquiry,2
174,school participated,2
175,student two,2
176,take place,2
177,paper report,2
178,9 student,2
179,class grade,2
180,grade 9,2
181,new technology,2
182,focus paper,2
183,learner interact,2
184,progressive inquiry,2
185,setting reported,2
186,collaborative discourse,2
187,implication finding,2
188,knowledge advance,2
189,influence student,2
190,presented paper,2
191,study also,2
192,student collaborative,2
193,different type,2
194,highlight structural,2
195,system one,2
196,chat application,2
197,chat tool,2
198,educational setting,2
199,student learning,2
200,student 's,2
201,research literature,2
202,paper explore,2
203,collaborative behavior,2
204,authoring tool,2
205,discus design,2
206,tablet pc,2
207,team member,2
208,virtual space,2
209,online discussion,2
210,board system,2
211,bulletin board,2
212,level participation,2
213,development evaluation,2
214,activity system,2
215,system developed,2
216,go beyond,2
217,unique feature,2
218,encourages learner,2
219,student level,2
220,learning approach,2
221,design course,2
222,student use,2
223,group learning,2
224,student one,2
225,mobile computing,2
226,theoretical framework,2
227,problem-solving group,2
228,new assessment,2
229,student team,2
230,preliminary result,2
231,communication paper,2
232,learning group,2
233,analysis role,2
234,two complementary,2
235,collected analyzed,2
236,one perspective,2
237,detailed analysis,2
238,interaction student,2
239,better learning,2
240,student role,2
241,environment engagement,2
242,discussion group,2
243,analysis interaction,2
244,measure level,2
245,synchronous interaction,2
246,higher education,2
247,finding indicate,2
248,computer-supported learning,2
249,online asynchronous,2
250,learning teaching,2
251,several researcher,2
252,supported learning,2
253,computer- supported,2
254,five category,2
255,social learning,2
256,review literature,2
257,study group,2
258,collaborative process,2
259,pilot study,2
260,paper argues,2
261,computer support,2
262,student first,2
263,content analysis,2
264,system student,2
265,knowledge together,2
266,discussion system,2
267,asynchronous forum,2
268,environment provide,2
269,introduced used,1
270,representation produced,1
271,week purpose,1
272,pay enough,1
273,meant support,1
274,action context-,1
275,representation furthermore,1
276,student thrust,1
277,support collaborative,1
278,representation introduced,1
279,raised paper,1
280,interactive space,1
281,design may,1
282,design specifically,1
283,session studied,1
284,session reflect,1
285,either complex,1
286,focus design,1
287,place design,1
288,argumentation design,1
289,shift focus,1
290,working design,1
291,question raised,1
292,specifically interplay,1
293,complex technology,1
294,student activity,1
295,illustrate shift,1
296,creative learning,1
297,reflect mediate,1
298,something instrumental,1
299,course interaction,1
300,extent occupy,1
301,result either,1
302,program collaborative,1
303,technology result,1
304,focus concept,1
305,context vice,1
306,target context,1
307,representation '',1
308,argumentation negotiation,1
309,creation sketch,1
310,proposal argumentation,1
311,negotiation process,1
312,suggest ``,1
313,environment meant,1
314,mapping interplay,1
315,design proposal,1
316,target representation,1
317,thrust something,1
318,interplay design,1
319,dialogue argumentation,1
320,`` action,1
321,versa concept,1
322,sketch produced,1
323,action context,1
324,activity sketch,1
325,used illustrate,1
326,furthermore result,1
327,'' large,1
328,paper sketch,1
329,two week,1
330,produced design,1
331,enough attention,1
332,instrumental suggest,1
333,interaction design,1
334,concept representation,1
335,investigate environment,1
336,interplay collaborative,1
337,proposal target,1
338,collaborative creative,1
339,suggest pedagogical,1
340,learning support,1
341,envisioned use,1
342,context- target,1
343,relieve mapping,1
344,task interactive,1
345,sketch design,1
346,design pay,1
347,student attending,1
348,occupy student,1
349,attention target,1
350,design session,1
351,sketch feed,1
352,feed envisioned,1
353,collaborative creation,1
354,studied group,1
355,design task,1
356,work learning,1
357,taking place,1
358,activity result,1
359,mediate dialogue,1
360,vice versa,1
361,result student,1
362,produced context,1
363,may relieve,1
364,pedagogical program,1
365,attending course,1
366,activity question,1
367,use context,1
368,space two,1
369,environment learning,1
370,video objective,1
371,model internet,1
372,activity teacher,1
373,general tool,1
374,management online,1
375,professional practice,1
376,transfer course,1
377,teacher research,1
378,course systematically,1
379,integrate collaborative,1
380,internet learning,1
381,pre-service teacher,1
382,analysis transfer,1
383,approach body,1
384,practice using,1
385,experimental online,1
386,material collaborative,1
387,systematically integrate,1
388,knowledge professional,1
389,evidence supporting,1
390,within general,1
391,empirically tested,1
392,representation support,1
393,learning grounded,1
394,stellar help,1
395,online material,1
396,meshed '',1
397,embodied within,1
398,learner develop,1
399,body empirically,1
400,using stellar,1
401,develop ``,1
402,support transfer,1
403,socio-technical environment,1
404,stellar socio-technical,1
405,learning learning-activity,1
406,grounded theoretical,1
407,research stellar,1
408,creation management,1
409,course knowledge,1
410,`` meshed,1
411,created experimental,1
412,stellar created,1
413,sciences1 pre-service,1
414,supporting approach,1
415,learning-activity research,1
416,produced substantial,1
417,'' cognitive,1
418,text video,1
419,substantial evidence,1
420,research produced,1
421,cognitive representation,1
422,transfer embodied,1
423,learning sciences1,1
424,course learning,1
425,called stellar,1
426,theoretical analysis,1
427,stellar support,1
428,study text,1
429,support creation,1
430,tested online,1
431,objective stellar,1
432,web-based one,1
433,community research,1
434,help design,1
435,paper concludes,1
436,order discus,1
437,framework derived,1
438,framework collaborative,1
439,primary secondary,1
440,simply enabling,1
441,primary amp,1
442,activity constitute,1
443,new cognitive,1
444,learning well,1
445,derived consideration,1
446,offs proposes,1
447,designed system,1
448,proceeds categorization,1
449,system distinctive,1
450,collaboration designed,1
451,paper proceeds,1
452,tool paper,1
453,main tool,1
454,psychology science,1
455,design system,1
456,education context,1
457,one simply,1
458,presenting main,1
459,trade- offs,1
460,education framework,1
461,categorization main,1
