,key,value
0,nan,60
1,learning environment,23
2,case study,23
3,learning science,20
4,student learning,17
5,paper present,14
6,collaborative learning,14
7,result show,12
8,high school,12
9,science education,12
10,study investigated,11
11,paper report,10
12,design-based research,10
13,conceptual understanding,10
14,student thinking,10
15,science learning,9
16,child 's,9
17,data collected,9
18,result suggest,8
19,research study,8
20,school student,8
21,teaching learning,8
22,middle school,8
23,science teacher,8
24,professional development,8
25,knowledge forum,7
26,paper explores,7
27,study explores,7
28,prior knowledge,7
29,student understanding,7
30,learning process,7
31,brings together,6
32,analysis student,6
33,knowledge building,6
34,show student,6
35,science classroom,6
36,study examines,6
37,science curriculum,6
38,result indicate,6
39,learning experience,6
40,one another,5
41,research project,5
42,paper describes,5
43,new method,5
44,grade student,5
45,knowledge construction,5
46,school science,5
47,student idea,5
48,take place,5
49,collaborative inquiry,5
50,instructional practice,5
51,learning within,5
52,little known,5
53,finding suggest,5
54,science research,5
55,classroom practice,5
56,'' ``,5
57,student use,5
58,theoretical framework,5
59,study one,5
60,student 's,5
61,learning management,5
62,management system,5
63,within learning,5
64,pilot study,5
65,formal informal,5
66,video game,5
67,poster present,5
68,learning may,4
69,result showed,4
70,learning result,4
71,learning scientist,4
72,small group,4
73,learning opportunity,4
74,et al,4
75,present case,4
76,better understanding,4
77,paper investigates,4
78,new technology,4
79,challenge learning,4
80,third paper,4
81,student discourse,4
82,assessment student,4
83,formative assessment,4
84,student learn,4
85,study examined,4
86,design process,4
87,one student,4
88,present study,4
89,student participation,4
90,scientific practice,4
91,two case,4
92,two different,4
93,provide evidence,4
94,learning progression,4
95,help student,4
96,learning tool,4
97,learning activity,4
98,problem solving,4
99,learning across,4
100,higher level,4
101,learning study,4
102,learning gain,4
103,data source,4
104,purpose study,4
105,support student,4
106,mathematical understanding,4
107,student teacher,4
108,three different,4
109,better understand,4
110,using data,4
111,student interaction,4
112,content analysis,4
113,online discourse,4
114,`` '',4
115,student contribution,4
116,research method,4
117,future research,4
118,practice learning,4
119,present finding,4
120,concept map,4
121,system lm,4
122,helping student,4
123,middle high,4
124,symposium present,4
125,data collection,4
126,virtual environment,4
127,teacher professional,4
128,education research,3
129,way learning,3
130,classroom activity,3
131,study suggests,3
132,called ``,3
133,high low,3
134,pedagogical approach,3
135,attending student,3
136,math science,3
137,elementary teacher,3
138,contrasting case,3
139,method course,3
140,three paper,3
141,particular teacher,3
142,using new,3
143,video clip,3
144,first paper,3
145,make decision,3
146,different aspect,3
147,paper explore,3
148,science researcher,3
149,used variety,3
150,understanding teacher,3
151,previous study,3
152,learning knowledge,3
153,classroom video,3
154,evidence student,3
155,showed student,3
156,process student,3
157,indicated student,3
158,designed support,3
159,study focus,3
160,activity learning,3
161,two type,3
162,investigated effect,3
163,learning complex,3
164,study investigates,3
165,science technology,3
166,design implication,3
167,analysis two,3
168,make science,3
169,knowledge student,3
170,practice paper,3
171,science using,3
172,finding study,3
173,disciplinary knowledge,3
174,student opportunity,3
175,audience member,3
176,way thinking,3
177,study implication,3
178,view mathematics,3
179,student prior,3
180,scientific knowledge,3
181,student conceptual,3
182,physical science,3
183,measure student,3
184,teacher ability,3
185,grade teacher,3
186,making sense,3
187,way teacher,3
188,student participated,3
189,experimental study,3
190,inquiry process,3
191,designed help,3
192,inquiry learning,3
193,design experiment,3
194,finding suggests,3
195,education however,3
196,limited time,3
197,student collaborative,3
198,study take,3
199,design implementation,3
200,inquiry activity,3
201,report development,3
202,clinical interview,3
203,use evidence,3
204,research suggests,3
205,group member,3
206,underlying assumption,3
207,study explored,3
208,designed provide,3
209,science instruction,3
210,classroom observation,3
211,illustrate teacher,3
212,representational practice,3
213,approach learning,3
214,identify key,3
215,online collaborative,3
216,approach used,3
217,,3
218,3 1,3
219,1 lt,3
220,2,3
221,amp 1,3
222,1 amp,3
223,graduate student,3
224,research using,3
225,mathematics learning,3
226,teacher student,3
227,science content,3
228,supporting student,3
229,empirical study,3
230,student work,3
231,found student,3
232,used learning,3
233,conceptual change,3
234,student developed,3
235,used support,3
236,support learning,3
237,everyday life,3
238,across time,3
239,teacher 's,3
240,complex understanding,3
241,research discussed,3
242,design learning,3
243,study examine,3
244,study group,3
245,method used,3
246,student used,3
247,exploratory study,3
248,learning however,3
249,data analysis,3
250,previous research,3
251,instruction science,3
252,study show,3
253,quantitative qualitative,3
254,epistemological stance,3
255,higher education,3
256,education study,3
257,science community,3
258,draw upon,3
259,science environment,3
260,paper review,3
261,mixed method,3
262,concept mapping,3
263,student science,3
264,secondary science,3
265,content knowledge,3
266,indicate student,3
267,study investigate,3
268,first explore,3
269,linear regression,3
270,present data,3
271,discus implication,3
272,'s knowledge,3
273,aspect learning,3
274,analysis used,3
275,game design,3
276,undergraduate engineering,3
277,explores student,3
278,analysis method,3
279,student interact,3
280,investigated student,3
281,student develop,3
282,physical virtual,3
283,'s ``,3
284,preliminary finding,3
285,informal learning,3
286,together researcher,3
287,research learning,3
288,four paper,3
289,symposium address,3
290,line research,3
291,identity development,3
292,poster presentation,3
293,quest atlantis,3
294,cognitive load,2
295,load theory,2
296,different type,2
297,potential different,2
298,explored potential,2
299,computer-based learning,2
300,multimedia learning,2
301,interest learning,2
302,science mathematics,2
303,cognitive social,2
304,little attention,2
305,offer alternative,2
306,research area,2
307,different activity,2
308,support learner,2
309,relationship among,2
310,among student,2
311,four student,2
312,collaborative activity,2
313,shared mathematical,2
314,group activity,2
315,order examine,2
316,month training,2
317,instructional guidance,2
318,strong conceptual,2
319,high level,2
320,control variable,2
321,variable strategy,2
322,strategy cv,2
323,low high,2
324,student six,2
325,solving problem,2
326,certification program,2
327,two contrasting,2
328,among teacher,2
329,practice attending,2
330,significant difference,2
331,teach science,2
332,science math,2
333,teacher candidate,2
334,teaching three,2
335,noticing second,2
336,club teacher,2
337,clip classroom,2
338,serve window,2
339,use clip,2
340,challenge researcher,2
341,potential camera,2
342,teaching symposium,2
343,new digital,2
344,capture short,2
345,excerpt one,2
346,explore different,2
347,short video,2
348,window teacher,2
349,second examines,2
350,teacher watch,2
351,methodology basis,2
352,clip captured,2
353,overcome challenge,2
354,teacher capture,2
355,in-the-moment noticing,2
356,researcher ongoing,2
357,method help,2
358,'s classroom,2
359,effort use,2
360,video club,2
361,describe new,2
362,noticing using,2
363,describes potential,2
364,reason make,2
365,help understand,2
366,technology first,2
367,understand teacher,2
368,nature teaching,2
369,variety method,2
370,aspect learned,2
371,using methodology,2
372,camera serve,2
373,discus excerpt,2
374,captured using,2
375,technology allows,2
376,ongoing nature,2
377,teacher reason,2
378,significant challenge,2
379,thinking third,2
380,investigates effort,2
381,teacher cognition,2
382,researcher used,2
383,watch discus,2
384,teacher noticing,2
385,noticing student,2
386,activity teaching,2
387,decision teaching,2
388,another 's,2
389,digital technology,2
390,examines teacher,2
391,basis video,2
392,noticing pose,2
393,cognition particular,2
394,allows teacher,2
395,symposium describe,2
396,teacher in-the-moment,2
397,learned teacher,2
398,teaching overcome,2
399,pose significant,2
400,design study,2
401,revealed significant,2
402,condition result,2
403,use digital,2
404,digital medium,2
405,study 19,2
406,shared representation,2
407,data suggests,2
408,discourse among,2
409,scaffold knowledge,2
410,discourse data,2
411,explores teacher,2
412,change teacher,2
413,epistemic belief,2
414,qualitative analysis,2
415,result indicated,2
416,analysis indicated,2
417,hong kong,2
418,student engagement,2
419,student group,2
420,'s participation,2
421,tool designed,2
422,social interaction,2
423,elementary school,2
424,paper examines,2
425,learning yet,2
426,classroom interaction,2
427,classroom discourse,2
428,research classroom,2
429,collaborative engagement,2
430,often remains,2
431,interaction learning,2
432,three activity,2
433,alternative way,2
434,process knowledge,2
435,help child,2
436,activity engage,2
437,analysis 2,2
438,way support,2
439,knowledge study,2
440,scientific argumentation,2
441,role fostering,2
442,student role,2
443,fostering scientific,2
444,show improvement,2
445,opportunity learning,2
446,learning arrangement,2
447,strategy effective,2
448,designing effective,2
449,dynamic model,2
450,biology student,2
451,environment facilitate,2
452,knowledge domain,2
453,student cognitive,2
454,practice used,2
455,technology engineering,2
456,child engage,2
457,student life,2
458,authentic scientific,2
459,sociocultural perspective,2
460,perspective focus,2
461,issue 1,2
462,instructional intervention,2
463,bridge gap,2
464,present three,2
465,focus student,2
466,physic course,2
467,illustrate learning,2
468,two focus,2
469,different representation,2
470,student effective,2
471,new way,2
472,school classroom,2
473,audience discus,2
474,teaching student,2
475,art program,2
476,way people,2
477,difference similarity,2
478,disciplinary practice,2
479,forum database,2
480,preliminary result,2
481,school mathematics,2
482,teaching practice,2
483,design knowledge,2
484,'' data,2
485,video analysis,2
486,student became,2
487,student took,2
488,student teaching,2
489,understanding physical,2
490,science topic,2
491,assessment measure,2
492,learning teaching,2
493,everyday experience,2
494,learning instruction,2
495,knowledge without,2
