,key,value
0,nan,33
1,learning environment,14
2,paper describes,9
3,paper present,4
4,problem solving,4
5,teaching learning,3
6,student learning,3
7,student use,3
8,student performed,3
9,use computer,3
10,case study,3
11,authoring tool,3
12,computer-based learning,3
13,learning problem,3
14,environment student,3
15,learning process,3
16,science student,3
17,teacher student,2
18,facilitate student,2
19,real world,2
20,understanding student,2
21,system based,2
22,affect use,2
23,hypermedia system,2
24,lesson learned,2
25,knowledge building,2
26,learning activity,2
27,human tutor,2
28,tutoring system,2
29,student work,2
30,intelligent tutoring,2
31,expert human,2
32,allows student,2
33,system student,2
34,make prediction,2
35,student population,2
36,student learn,2
37,conceptual change,2
38,student using,2
39,high school,2
40,promote learning,2
41,mental model,2
42,two study,2
43,case-based learning,2
44,educational researcher,2
45,child 's,2
46,teaching strategy,2
47,major impact,2
48,tool used,2
49,problem situation,2
50,learning pbl,2
51,realistic analysis,2
52,problem-based learning,2
53,classroom practice,2
54,two approach,2
55,model learning,2
56,approach education,2
57,`` learning,2
58,student need,2
59,learning '',2
60,pedagogical goal,2
61,structure learning,2
62,teaching particular,2
63,science mathematics,2
64,system support,2
65,tool help,2
66,knowledge base,2
67,learning experience,2
68,multiple perspective,2
69,paper report,2
70,result showed,2
71,knowledge complex,2
72,knowledge knowledge,2
73,research teacher,2
74,research project,2
75,enhance learning,2
76,use system,2
77,learning opportunity,2
78,paper introduces,2
79,describes new,2
80,using architecture,2
81,environment developed,2
82,science class,2
83,problem-solving activity,2
84,paper focus,2
85,student design,2
86,provide student,2
87,student create,2
88,design task,2
89,environment paper,2
90,paper discus,2
91,study one,2
92,addition subtraction,2
93,learning material,1
94,challenge faced,1
95,digital library,1
96,line resource,1
97,library umdl,1
98,creating finding,1
99,standard teaching,1
100,michigan digital,1
101,experience using,1
102,designing technological,1
103,report experience,1
104,investigate meaningful,1
105,faced teacher,1
106,initial report,1
107,design standard,1
108,challenge posed,1
109,promote sustained,1
110,sustained inquiry,1
111,student investigate,1
112,well challenge,1
113,posed creating,1
114,using on-line,1
115,support science,1
116,project provides,1
117,guideline design,1
118,science inquiry,1
119,useful content,1
120,umdl project,1
121,resource paper,1
122,material method,1
123,on-line resource,1
124,inquiry science,1
125,university michigan,1
126,present initial,1
127,question on-line,1
128,science classroom,1
129,resource promote,1
130,examine challenge,1
131,technological tool,1
132,content designing,1
133,meaningful question,1
134,provides guideline,1
135,method support,1
136,using line,1
137,inquiry using,1
138,student well,1
139,finding useful,1
140,tool student,1
141,classroom examine,1
142,ground merely,1
143,visible manipulable,1
144,first version,1
145,scratch student,1
146,goal device,1
147,find middle,1
148,student construct,1
149,chemical engineering,1
150,middle ground,1
151,behavior system,1
152,establish realistic,1
153,simulation level,1
154,modeling task,1
155,world problem,1
156,malleable modeling,1
157,view manipulate,1
158,actually complete,1
159,level simulation,1
160,device hope,1
161,simulation building,1
162,realistic context,1
163,system device,1
164,need malleable,1
165,construct model,1
166,evaluation model,1
167,executing simulation,1
168,model explain,1
169,showed model,1
170,dynamic environment,1
171,form easily,1
172,construction model,1
173,version device,1
174,modeling level,1
175,learn modeling,1
176,environment visualization,1
177,visualization chemical,1
178,student able,1
179,simulated environment,1
180,allowed student,1
181,student theoretical,1
182,user test,1
183,simulation device,1
184,easily connects,1
185,device dynamic,1
186,learning construction,1
187,student view,1
188,manipulable represented,1
189,model evaluation,1
190,model need,1
191,hope find,1
192,engineering facilitate,1
193,problem simulated,1
194,complete learn,1
195,solve real,1
196,test showed,1
197,device student,1
198,one scratch,1
199,manipulate model,1
200,represented form,1
201,model underlying,1
202,merely viewing,1
203,device allowed,1
204,viewing simulation,1
205,able actually,1
206,context model,1
207,building one,1
208,visualization help,1
209,connects student,1
210,task first,1
211,simulation visible,1
212,explain behavior,1
213,help establish,1
214,student solve,1
215,model executing,1
216,theoretical understanding,1
217,underlying simulation,1
218,model user,1
219,browsing order,1
220,learning refer,1
221,type student,1
222,use behavior,1
223,answer specific,1
224,different orienting,1
225,based cognitive,1
226,e.g. definition,1
227,system ram,1
228,problem-solving problem-solving,1
229,medium type,1
230,definition explanation,1
231,problem-solving browsing,1
232,stu_dents bring,1
233,self-explanations found,1
234,found significant,1
235,learning difference,1
236,organized around,1
237,medium link,1
238,amp stasko,1
239,problem-solving prompted,1
240,stasko 1995,1
241,though learning,1
242,ram shikano,1
243,explanation pseudo-code,1
244,explored student,1
245,bring learning,1
246,refer medium,1
247,order answer,1
248,usability hypermedia,1
249,hypothesis goal,1
250,cognitive medium,1
251,designed learning,1
252,type recker,1
253,specific question,1
254,difference use,1
255,leake 1995,1
256,believe identifying,1
257,cognitive role,1
258,use hypermedia,1
259,improve comprehension,1
260,identifying medium,1
261,1995 hypothesis,1
262,ram amp,1
263,link organized,1
264,browsing student,1
265,prompted self-explanations,1
266,learning task,1
267,task undirected,1
268,goal stu_dents,1
269,1995 explored,1
270,shikano li,1
271,performed different,1
272,undirected browsing,1
273,amp leake,1
274,behavior problem-solving,1
275,system designed,1
276,support system,1
277,recker ram,1
278,student though,1
279,comprehension usability,1
280,role cognitive,1
281,significant difference,1
282,orienting task,1
283,pseudo-code visualization,1
284,medium cognitive,1
285,role e.g.,1
286,hypermedia support,1
287,task affect,1
288,li amp,1
289,visualization improve,1
290,question problem-solving,1
291,around cognitive,1
292,collaboration multiplicity,1
293,building framework,1
294,learning collaboration,1
295,active learning,1
296,design goal,1
297,history experience,1
298,networked learning,1
299,course design,1
300,decade field,1
301,based principle,1
302,class management,1
303,build lesson,1
304,main design,1
305,design virtual-utm,1
306,made design,1
307,online course,1
308,presented illustrate,1
309,one main,1
310,consists tool,1
311,virtual-utm build,1
312,experience user,1
313,delivery enhancement,1
314,design system,1
315,design delivery,1
316,flexible framework,1
317,pedagogy based,1
318,activity including,1
319,activity knowledge,1
320,decision made,1
321,behind decision,1
322,knowledge structuring,1
323,goal provide,1
324,advanced pedagogy,1
325,individual group,1
326,tool support,1
327,design individual,1
328,description virtual-utm,1
329,initial experience,1
330,user reported,1
331,including course,1
332,customized design,1
333,framework support,1
334,management evaluation,1
335,experience presented,1
336,education one,1
337,provide flexible,1
338,principle active,1
339,group learning,1
340,motivation behind,1
341,evaluation design,1
342,illustrate motivation,1
343,multiplicity knowledge,1
344,research online,1
345,learned initial,1
346,wide web-based,1
347,virtual-utm lesson,1
348,support advanced,1
349,post-secondary education,1
350,system description,1
351,delivery brief,1
352,web-based networked,1
353,structuring class,1
354,learned decade,1
355,field research,1
356,enhancement post-secondary,1
357,framework consists,1
358,environment customized,1
359,virtual-utm world,1
360,support core,1
361,course delivery,1
362,brief history,1
363,world wide,1
364,core activity,1
365,system differ,1
366,domain student,1
367,help literature,1
368,difference affect,1
369,learn reason,1
370,session basis,1
371,computer tutoring,1
372,effect followed,1
373,two expert,1
374,employ many,1
375,require student,1
376,systematic study,1
377,cst protocol,1
378,disturbance circulatory,1
379,happens it,1
380,protocol human,1
381,mentioned intelligent,1
382,human tutoring,1
383,ensuing qualitative,1
384,ask help,1
385,hint occasionally,1
386,occasionally mentioned,1
387,dialogue protocol,1
388,knowledge domain,1
389,followed interactive,1
390,tactic virtually,1
391,differ tutoring,1
392,tutor reveals,1
393,blood pressure,1
394,study human,1
395,problem hint,1
396,basis design,1
397,tutoring protocol,1
398,problem explicitly,1
399,protocol allows,1
400,question although,1
401,design cst,1
402,tutoring session,1
403,first year,1
404,use hint,1
405,regulation study,1
406,literature example,1
407,causal effect,1
408,literature systematic,1
409,pressure regulation,1
410,virtually always,1
411,work problem,1
412,begin explanation,1
413,problem disturbance,1
414,rarely happens,1
415,protocol knowledge,1
416,ask question,1
417,training system,1
418,interactive dialogue,1
419,many tactic,1
420,system literature,1
421,population difference,1
422,explicitly ask,1
423,year medical,1
424,although rarely,1
425,it automated,1
426,designed assist,1
427,medical student,1
428,human computer,1
429,example system,1
430,prediction ensuing,1
431,study phenomenon,1
432,phenomenon circsim-tutor,1
433,try hinting,1
434,always try,1
435,remedy problem,1
436,session begin,1
437,system require,1
438,qualitative causal,1
439,study two,1
440,reason blood,1
441,circulatory system,1
442,automated training,1
443,assist first,1
444,student make,1
445,cst designed,1
446,student ask,1
447,reveals employ,1
448,circsim-tutor cst,1
449,explanation problem,1
450,hinting remedy,1
451,school foster,1
452,culture understanding,1
453,student community,1
454,foster culture,1
455,call change,1
456,tool paper,1
457,restructuring call,1
458,school restructuring,1
459,without tool,1
460,computer networking,1
461,network kid,1
462,different kind,1
463,change setting,1
464,reviewed include,1
465,deploy different,1
466,innovative tool,1
467,network reviewed,1
468,describes network,1
469,teacher change,1
470,establish community,1
471,labnet paper,1
472,describes innovative,1
473,network labnet,1
474,community teacher,1
475,kind communication,1
476,teacher scholar,1
477,professional development,1
478,scholar network,1
479,device researcher,1
480,atlas community,1
481,development use,1
482,researcher learned,1
483,change without,1
484,networking establish,1
485,communication device,1
486,learned teacher,1
487,network operate,1
488,community network,1
489,operate way,1
490,kid network,1
491,include atlas,1
492,way deploy,1
493,tool professional,1
