,key,value
0,learning science,18
1,student learning,17
2,learning environment,17
3,professional development,14
4,science education,13
5,high school,13
6,study examined,10
7,case study,10
8,middle school,10
9,school student,10
10,problem solving,8
11,paper report,8
12,preservice teacher,8
13,study investigated,7
14,conceptual understanding,7
15,child 's,7
16,study examines,7
17,content knowledge,7
18,paper present,7
19,learning outcome,6
20,paper describes,6
21,student teacher,6
22,community practice,6
23,study student,6
24,result indicated,6
25,nan,6
26,significant difference,5
27,present result,5
28,learning community,5
29,student learn,5
30,better understanding,5
31,research project,5
32,collaborative learning,5
33,experimental study,5
34,learning tool,5
35,declarative knowledge,5
36,mental model,5
37,circulatory system,5
38,pretest posttest,5
39,learning strategy,5
40,real world,5
41,understanding student,5
42,learning task,5
43,activity theory,5
44,teacher used,5
45,learning study,5
46,learning process,5
47,help student,5
48,grade student,4
49,student used,4
50,attitude toward,4
51,finding suggest,4
52,design project,4
53,use technology,4
54,pre-service teacher,4
55,research learning,4
56,quality collaborative,4
57,complex system,4
58,education reform,4
59,curriculum material,4
60,result showed,4
61,prior knowledge,4
62,study conducted,4
63,teaching learning,4
64,scientific inquiry,4
65,pedagogical content,4
66,data analysis,4
67,epistemology science,4
68,purpose study,4
69,mathematics classroom,4
70,scientific literacy,4
71,student use,4
72,study 1,4
73,two year,4
74,paper examines,4
75,teacher implemented,4
76,student participated,4
77,engineering design,4
78,elementary school,4
79,science classroom,4
80,inquiry task,4
81,study investigates,4
82,pilot study,4
83,social network,4
84,classroom practice,4
85,study focus,3
86,teacher use,3
87,system designed,3
88,study undergraduate,3
89,design research,3
90,learning opportunity,3
91,theoretical framework,3
92,everyday life,3
93,participant explore,3
94,need student,3
95,project using,3
96,organized around,3
97,science learning,3
98,science research,3
99,education research,3
100,research practice,3
101,collaborative process,3
102,study designed,3
103,reform initiative,3
104,knowledge construction,3
105,empirical study,3
106,virtual environment,3
107,mathematics education,3
108,data collected,3
109,solving problem,3
110,type knowledge,3
111,university student,3
112,student took,3
113,difference group,3
114,randomly assigned,3
115,college student,3
116,self-regulated learning,3
117,result indicate,3
118,collaborative knowledge,3
119,knowledge forum,3
120,study investigate,3
121,using qualitative,3
122,study also,3
123,qualitative study,3
124,inquiry classroom,3
125,result suggest,3
126,inquiry practice,3
127,learning activity,3
128,complex learning,3
129,whether student,3
130,learn circulatory,3
131,study aimed,3
132,result show,3
133,student performance,3
134,using activity,3
135,urban school,3
136,epistemic game,3
137,approach creating,3
138,one 's,3
139,school science,3
140,learning support,3
141,mathematical problem,3
142,classroom instruction,3
143,need support,3
144,address issue,3
145,order create,3
146,conceptual change,3
147,science curriculum,3
148,high low,3
149,quantitative qualitative,3
150,science inquiry,3
151,7th grade,3
152,practice paper,3
153,one another,3
154,teacher learning,3
155,study 2,3
156,goal project,3
157,order understand,3
158,community learner,3
159,explore issue,3
160,student ability,3
161,learning pbl,3
162,problem-based learning,3
163,propose new,3
164,educational technology,3
165,difference two,3
166,examined effect,3
167,design principle,3
168,found teacher,3
169,scientific concept,3
170,design course,3
171,group student,3
172,computer model,3
173,classroom context,3
174,used ass,3
175,study result,3
176,science class,3
177,assessment design,3
178,teacher student,3
179,present study,3
180,relationship student,3
181,science unit,3
182,theoretical understanding,3
183,research process,3
184,ethnographic study,3
185,school biology,3
186,poster present,3
187,similar research,2
188,teacher prior,2
189,asked complete,2
190,part larger,2
191,result first,2
192,affect student,2
193,instructional strategy,2
194,strategy teacher,2
195,training study,2
196,use instructional,2
197,student knowledge,2
198,current analysis,2
199,larger study,2
200,facilitate teacher,2
201,student understanding,2
202,attitude belief,2
203,result research,2
204,reasoning problem,2
205,schema theory,2
206,community study,2
207,make case,2
208,subject matter,2
209,learning scientist,2
210,implication design,2
211,tool learning,2
212,resource child,2
213,research program,2
214,within across,2
215,social context,2
216,science center,2
217,'s learning,2
218,student conceptual,2
219,report study,2
220,cultural group,2
221,cognitive ethnographic,2
222,curriculum project,2
223,powerful learning,2
224,session participant,2
225,problem-solving skill,2
226,young child,2
227,parent child,2
228,technology use,2
229,teacher different,2
230,science community,2
231,support learning,2
232,education learning,2
233,learning center,2
234,learning teaching,2
235,center learning,2
236,final presentation,2
237,model based,2
238,education however,2
239,together paper,2
240,learning occurs,2
241,conference e.g,2
242,educational research,2
243,game learning,2
244,role technology,2
